<StatList>
  <Stat ID="m#innc3fire" power="35,1.1" needMp="10" needItem="rock-a,redMarble+5,driedLeaf+5,yellowDust" prop="fire" circleSound="magic_2" shakePower="4" shakeTime="1" shakeTiming="0" />
  <Stat ID="m#midc3double" power="1.2" needMp="5" needItem="rock-a,redMarble+3,yellowDust+2" prop="powerUp" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#outc3save" power="0.8" needMp="0" needItem="rock-a,dampMarble+3" prop="saveMP" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#innc7normal" power="3200,15" needMp="1200" needItem="none" prop="normal" circleSound="magic_1" shakePower="2" shakeTime="3" shakeTiming="2.3" />
  <Stat ID="m#innc1recover" power="50,1.5" needMp="15" needItem="rock-a,lizardTail+2,waterLeaf" prop="recoverHP" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#innc2recover" power="135,3" needMp="40" needItem="rock-b,waterLeaf2+2,woodSpirit" prop="recoverHP" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#midc4double" power="1.4" needMp="16" needItem="rock-a,yellowDust+3,darkStone" prop="powerUp" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#midc5double" power="1.6" needMp="52" needItem="rock-c,basaltStone,yellowDust+5" prop="powerUp" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#outc4save" power="0.7" needMp="" needItem="rock-a,dampMarble+3,waterLeaf+5" prop="saveMP" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#outc5save" power="0.55" needMp="" needItem="rock-c,woodSpirit,smallSpStone+3" prop="saveMP" circleSound="" shakePower="" shakeTime="" shakeTiming="" />
  <Stat ID="m#innc4thunder" power="150,2.5" needMp="60" needItem="rock-a,lectbeeSting+3,darkStone" prop="thunder" circleSound="magic_2" shakePower="3" shakeTime="2" shakeTiming="0.5" />
  <Stat ID="m#innc5thunder" power="650,6" needMp="250" needItem="rock-b,lectbeeSting+5,bigDarkStone" prop="thunder" circleSound="magic_2" shakePower="3" shakeTime="3" shakeTiming="2" />
  <Stat ID="m#innc7thunder" power="1020,8.8" needMp="600" needItem="rock-c,lectrhinoHorn,lectbeeSting+5" prop="thunder" circleSound="magic_1" shakePower="5" shakeTime="5" shakeTiming="3.2" />
  <Stat ID="m#innc4ice" power="125,1.8" needMp="32" needItem="rock-a,magicIce+3,coldStone+3" prop="ice" circleSound="magic_2" shakePower="1" shakeTime="4" shakeTiming="0" />
  <Stat ID="m#innc5ice" power="400,4" needMp="80" needItem="rock-b,magicIce+5,iceSting" prop="ice" circleSound="magic_2" shakePower="1.5" shakeTime="5" shakeTiming="0.2" />
  <Stat ID="m#innc7ice" power="840,6.8" needMp="250" needItem="rock-c,crevasseBeard,iceSting,coldStone+5" prop="ice" circleSound="magic_2" shakePower="3" shakeTime="5" shakeTiming="3.7" />
  <Stat ID="m#innc5fire" power="500,4.5" needMp="120" needItem="rock-b,fireStone+2,darkStone+2" prop="fire" circleSound="magic_2" shakePower="0.6" shakeTime="3" shakeTiming="2.2" />
  <Stat ID="m#innc7fire" power="950,7.4" needMp="400" needItem="rock-c,lavalordHeart,basaltStone,bigDarkStone" prop="fire" circleSound="magic_1" shakePower="5" shakeTime="4" shakeTiming="5.1" />
  <Stat ID="m#innc3ice" power="30,1" needMp="5" needItem="none" prop="ice" circleSound="magic_2" shakePower="1" shakeTime="4" shakeTiming="0" />
  <Stat ID="m#innc3thunder" power="70,1.7" needMp="10" needItem="none" prop="thunder" circleSound="magic_2" shakePower="1" shakeTime="2" shakeTiming="0.5" />
</StatList>
